line,rho1,rho2,rho3,rho4,rho5,rho6,rho7,rho8,rho9,rho10,rho11,rho12,rho13,rho14,rho15,rho16,rho17,rho18,rho19,rho20,rho21,rho22,rho23,rho24,rho25,rho26,rho27,rho28,rho29,rho30,rho31,rho32,rho33,rho34,rho35,rho36,rho37,rho38,rho39,rho40,rho41,rho42,rho43,rho44,rho45,rho46,rho47,rho48,rho49,rho50,rho51,rho52,rho53,rho54,rho55,rho56,rho57,rho58,rho59,rho60,rho61,rho62,rho63,rho64,rho65,rho66,rho67,rho68,rho69,origin
0,0.105435885,0.10675492,0.10291084,0.099201284,0.09491259,0.08996326,0.08491538,0.07997649,0.075952515,0.07334987,0.07107506,0.06783929,0.066091575,0.06301205,0.06089985,0.057721045,0.054655023,0.052366212,0.04943163,0.046447646,0.043117166,0.040678505,0.03794285,0.03439447,0.03128525,0.028240606,0.024471894,0.021361027,0.01777408,0.0149929,0.011586723,0.008383159,0.005097279,0.0018431852,-0.001450371,-0.004847511,-0.008454087,-0.011456947,-0.01489383,-0.018293805,-0.021031974,-0.023061275,-0.024748774,-0.026521765,-0.0287676,-0.03060097,-0.03188207,-0.033100247,-0.035006978,-0.03723672,-0.03828251,-0.04076589,-0.041882113,-0.04414424,-0.045664646,-0.04748921,-0.049857754,-0.05092586,-0.05270635,-0.053741027,-0.05638627,-0.057375096,-0.060044218,-0.062041353,-0.06424259,-0.06483789,-0.067454524,-0.0683807,-0.07047642,true
1,0.12961003,0.13598421,0.12698182,0.11888211,0.11179919,0.10567777,0.10010931,0.09485611,0.09045969,0.08811293,0.08627646,0.084208705,0.08124171,0.0793491,0.07730663,0.0751117,0.072665766,0.0699529,0.0682317,0.066337496,0.06359429,0.061367445,0.059237856,0.056832884,0.054186117,0.05165617,0.04927315,0.04673691,0.043701895,0.04108059,0.037958,0.03600783,0.03269333,0.030632492,0.026850611,0.024547068,0.021098226,0.017745927,0.013779783,0.011700239,0.007959588,0.007551157,0.00508397,0.004178185,0.0012468006,0.00041131116,-0.0015518982,-0.0034042778,-0.004503642,-0.0060292697,-0.008227863,-0.009538509,-0.011667389,-0.013170252,-0.0148641,-0.01629221,-0.018440796,-0.020062556,-0.021718392,-0.02309972,-0.025103183,-0.027341843,-0.028602496,-0.03111998,-0.03199189,-0.0336975,-0.03561597,-0.036722936,-0.039194364,true
2,0.10253177,0.10482339,0.10021483,0.09617147,0.09172344,0.08668743,0.08263305,0.07737268,0.07212949,0.07113605,0.06873018,0.065712094,0.063676395,0.06072151,0.05860093,0.055626716,0.053599276,0.05059488,0.04823596,0.04521697,0.04157899,0.038918022,0.03602112,0.0326258,0.02928174,0.026696123,0.023413105,0.019676698,0.016929142,0.013220416,0.010251204,0.0076827533,0.0031167143,-6.548688e-05,-0.0026725587,-0.0065428005,-0.010194344,-0.013285171,-0.016339099,-0.019398835,-0.023063196,-0.025292482,-0.027894551,-0.028678436,-0.03080963,-0.032185026,-0.033870786,-0.035913967,-0.03775853,-0.040008295,-0.040362913,-0.043175757,-0.04498674,-0.04660907,-0.049454667,-0.050299548,-0.05185677,-0.05478752,-0.05573853,-0.056951743,-0.0596067,-0.060647715,-0.063102745,-0.06443885,-0.06717117,-0.06799735,-0.07013417,-0.07183705,-0.073412605,true
3,0.078667834,0.079801396,0.080169216,0.079635896,0.07689277,0.07500987,0.073075175,0.06891833,0.06570778,0.06443654,0.06314404,0.061366905,0.059768688,0.058409266,0.055248905,0.053183857,0.05081142,0.049064614,0.046608895,0.044091564,0.041747056,0.038969338,0.035888873,0.032706194,0.030896354,0.027968956,0.02444379,0.02217776,0.018627983,0.016245348,0.013163901,0.010448833,0.0068656136,0.0036788885,0.0013531083,-0.0022610393,-0.0063704904,-0.0095569845,-0.011849236,-0.015264236,-0.018516464,-0.019372206,-0.021915177,-0.023203596,-0.024943275,-0.025677117,-0.028282937,-0.030009868,-0.030966254,-0.033497628,-0.034769267,-0.03628134,-0.038853385,-0.039906606,-0.042462558,-0.04340312,-0.045827918,-0.04690845,-0.048373535,-0.0504497,-0.05215673,-0.05326546,-0.055094644,-0.057630584,-0.059306405,-0.060709637,-0.062403288,-0.064711265,-0.06595164,true
4,0.12502372,0.1274571,0.12105068,0.114105046,0.10651138,0.09842856,0.09240098,0.0856919,0.07984434,0.07661486,0.07183077,0.070642136,0.06693307,0.06331769,0.06040609,0.05612038,0.05403946,0.050096057,0.046777114,0.04313192,0.040119532,0.037175875,0.032563157,0.029723333,0.025721371,0.022248816,0.018867405,0.0153740635,0.012371218,0.008159208,0.0050197244,0.0006415928,-0.0028358074,-0.0063819345,-0.010176456,-0.013962988,-0.01691671,-0.02026047,-0.024845205,-0.028372537,-0.03210128,-0.033958685,-0.036561072,-0.038086887,-0.03885626,-0.04179232,-0.043214962,-0.044805113,-0.047074266,-0.048305526,-0.049767807,-0.052258525,-0.053898707,-0.05637744,-0.057239108,-0.059794515,-0.06137383,-0.06352678,-0.065465406,-0.067028664,-0.068287514,-0.072050236,-0.072900005,-0.074700706,-0.07604848,-0.0782978,-0.08053266,-0.082350984,-0.08452702,true
5,0.101844825,0.10710312,0.10176263,0.09621214,0.090402886,0.08515033,0.08066474,0.07623773,0.07216742,0.0699995,0.06706944,0.06521274,0.06392708,0.06040744,0.058430757,0.05527112,0.05413878,0.050759375,0.04810465,0.045558505,0.043827757,0.041400354,0.037456278,0.035212718,0.032100707,0.02959619,0.026362512,0.023693547,0.020929217,0.017693236,0.015038058,0.012058085,0.00905443,0.0053638397,0.0028378004,-0.00088939304,-0.0040205074,-0.007398475,-0.01062982,-0.0141236065,-0.016801447,-0.018747322,-0.020440523,-0.02246781,-0.024154982,-0.025392888,-0.027437333,-0.02905588,-0.030658966,-0.032320894,-0.033486478,-0.035726298,-0.037396528,-0.03935243,-0.04064183,-0.042655163,-0.044657163,-0.045980208,-0.048059035,-0.049299132,-0.051016737,-0.05430235,-0.05566444,-0.05753826,-0.05884864,-0.059754226,-0.061620712,-0.06416623,-0.06584757,true
6,0.08812469,0.09063118,0.08926662,0.08570693,0.0832321,0.07990886,0.07524352,0.072572514,0.06869251,0.06771225,0.0656443,0.06361869,0.061359305,0.05922006,0.057898127,0.054785382,0.053000882,0.05151319,0.047840394,0.04566025,0.04359507,0.040237453,0.03714475,0.034187146,0.03206796,0.029292177,0.026168168,0.023276951,0.0199679,0.016926816,0.014385338,0.011678678,0.0077004777,0.004453264,0.0015596524,-0.0018890961,-0.0041533476,-0.0077879177,-0.010543676,-0.014808626,-0.017673537,-0.019807234,-0.020966616,-0.02337183,-0.024194837,-0.027319646,-0.027762849,-0.029932631,-0.031056227,-0.033315487,-0.034550667,-0.03587835,-0.03794822,-0.040254537,-0.041782886,-0.04326795,-0.04427454,-0.047238745,-0.04785077,-0.050255537,-0.051731043,-0.052558377,-0.055372704,-0.057349022,-0.05888902,-0.061181683,-0.062937684,-0.06481996,-0.06612892,true
7,0.11397751,0.117178544,0.11102255,0.10630008,0.10030773,0.09582278,0.089400485,0.08430308,0.078996584,0.07625093,0.07422487,0.07169251,0.069235116,0.06586636,0.06373884,0.060060542,0.057636924,0.054460153,0.051548332,0.048099745,0.04561191,0.042253852,0.03922648,0.03663937,0.033581898,0.02969789,0.027230792,0.024609104,0.020034222,0.0162615,0.0132104475,0.010689904,0.006977802,0.004209811,3.687665e-05,-0.0032641501,-0.0069741597,-0.009834251,-0.013266327,-0.016641892,-0.020317663,-0.022358809,-0.023978587,-0.026561882,-0.026853655,-0.029130427,-0.03138013,-0.033053204,-0.034776747,-0.036392733,-0.0388621,-0.039878584,-0.04212123,-0.043183226,-0.045185164,-0.04724604,-0.049205087,-0.050940804,-0.052857496,-0.05497067,-0.05629022,-0.05812904,-0.06054357,-0.062429737,-0.06382979,-0.065470494,-0.06644697,-0.06946607,-0.07088061,true
8,0.103929475,0.10810109,0.10077135,0.09398341,0.08866961,0.08290315,0.07781895,0.072632216,0.068189,0.066041306,0.063594304,0.061360445,0.058735352,0.056421522,0.05469774,0.05103785,0.049081784,0.04663069,0.04367841,0.04072985,0.038617164,0.03518665,0.032608368,0.030147439,0.027201943,0.024529092,0.021303536,0.018088581,0.015323143,0.011677205,0.009525927,0.005789756,0.0019731661,-0.0014384612,-0.0036574444,-0.0077084196,-0.010345106,-0.0145320995,-0.017069822,-0.02060005,-0.023689317,-0.026223168,-0.027805723,-0.0296886,-0.031530615,-0.033145063,-0.034463175,-0.036286883,-0.038033508,-0.040257756,-0.04131702,-0.043596093,-0.04543905,-0.046835788,-0.049473226,-0.050435342,-0.05187405,-0.053763863,-0.05590485,-0.057700653,-0.059597507,-0.061041635,-0.06372702,-0.06495815,-0.06682514,-0.06842705,-0.07061907,-0.07290927,-0.074641205,true
9,0.121939525,0.12100233,0.118489675,0.11540785,0.11099782,0.10576068,0.10019001,0.09604488,0.09145245,0.089531064,0.085465275,0.0839622,0.08136903,0.07796524,0.07580808,0.07345617,0.07049802,0.06753944,0.06438179,0.06085375,0.05882843,0.05569247,0.05214244,0.048755746,0.045100063,0.042472634,0.03874934,0.035221297,0.032418013,0.028317466,0.024849225,0.02124995,0.01798784,0.014804291,0.010864019,0.007731492,0.003568523,0.00024327997,-0.0036376207,-0.0071324585,-0.009903096,-0.012500106,-0.014147634,-0.016005583,-0.01780368,-0.020235378,-0.020688634,-0.02227256,-0.024794454,-0.026469471,-0.02800774,-0.03004369,-0.032204747,-0.033794496,-0.0359146,-0.037605576,-0.038651876,-0.040771604,-0.043081354,-0.04473478,-0.04639409,-0.04892872,-0.05043079,-0.052512944,-0.054221805,-0.055686507,-0.058048625,-0.0594796,-0.06148834,true
